name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
김도영,Tigers (KBO),3루,168.5259724,10.43460256,10.17626923,540,620,188,29,10,38,58,7,7,1,7,110,10,40,4,142,108,0.348148148,0.42003231,0.65,1.07003231,0.443947334,57.43240263,5.705287654,8.915608841,7.625002013,0.258333333
로하스,Wiz (KBO),우익,158.2641401,7.293989753,8.131489753,572,670,188,39,1,32,79,6,4,0,9,115,10,2,1,108,112,0.328671329,0.420895522,0.568181818,0.989077341,0.429454854,52.76989534,0.086022371,3.227369912,-5.041020175,-0.8375
김혜성,Heroes (KBO),2루,124.5113436,5.443265092,5.208681759,505,563,165,26,4,11,45,4,7,0,2,61,6,30,6,90,75,0.326732673,0.38365897,0.459405941,0.84306491,0.381786784,18.65458543,2.407404465,6.776134422,2.874827691,0.234583333
송성문,Heroes (KBO),3루,148.895759,7.882900669,7.633734002,523,598,178,29,4,19,62,3,8,0,2,80,5,21,0,87,104,0.340344168,0.409698997,0.520076482,0.929775478,0.416224168,39.52596344,4.515941321,6.376050025,2.395435257,0.249166667
홍창기,Twins (KBO),우익,144.8888414,5.58538928,6.38163928,524,637,176,18,3,5,93,12,4,1,3,93,8,10,11,96,73,0.335877863,0.446540881,0.410305344,0.856846224,0.410565318,38.65341928,-4.689257706,4.521485387,-1.997768767,-0.79625
구자욱,Lions (KBO),좌익,161.5933032,6.790847003,7.500847003,493,568,169,39,1,33,51,12,6,2,4,73,6,13,4,92,115,0.342799189,0.416961131,0.626774848,1.043735979,0.434156532,47.2924616,0.277167223,4.787875153,-0.961158792,-0.71
오스틴,Twins (KBO),1루,150.1828194,5.519159804,6.777493137,527,604,168,32,3,32,55,3,13,0,6,82,9,12,8,99,132,0.318785579,0.38410596,0.573055028,0.957160989,0.418041845,40.9734077,-2.508674298,4.831069084,-0.889802036,-1.258333333
박민우,Dinos (KBO),2루,126.2984996,5.031059992,4.813559992,452,522,149,26,2,8,49,9,4,4,4,78,5,31,7,75,50,0.329646018,0.407335907,0.449115044,0.856450952,0.384310731,18.55716216,1.957635799,6.115126892,1.52080196,0.2175
김주원,Dinos (KBO),유격,99.81856715,2.989758292,2.402258292,381,470,97,18,2,9,49,25,5,9,1,111,4,16,6,61,49,0.254593176,0.373101952,0.3832021,0.756304052,0.346913911,-0.115272013,-0.443873969,6.121355404,1.081728902,0.5875
에레디아,Landers (KBO),좌익,143.4816214,5.18285608,5.91660608,537,587,194,31,1,21,25,13,9,0,3,73,12,4,3,82,118,0.361266294,0.400340716,0.540037244,0.940377959,0.408577943,34.50276661,-0.843289536,3.36074448,-3.843416276,-0.73375
박동원,Twins (KBO),포수,112.8656384,3.909403079,2.871903079,434,498,118,22,0,20,53,0,7,2,2,112,14,1,0,58,80,0.271889401,0.348790323,0.460829493,0.809619816,0.365339902,8.661054547,0.413384452,1.866956485,-5.25540821,1.0375
김지찬,Lions (KBO),중견,115.446358,5.101835278,4.878918612,453,535,143,16,3,3,58,9,1,12,2,40,5,42,4,102,36,0.315673289,0.405353728,0.38410596,0.789459689,0.368984575,11.1709464,6.125137371,7.721813988,4.743102346,0.222916667
강승호,Bears (KBO),2루,104.8996666,3.688691232,3.452857899,521,566,146,34,7,18,28,7,4,2,4,158,8,16,5,81,81,0.280230326,0.328014184,0.476007678,0.804021862,0.354089797,3.748806737,0.16950355,6.792359748,2.310268701,0.235833333
최정,Landers (KBO),3루,140.886631,5.925400409,5.697900409,464,546,133,27,2,35,54,20,7,0,1,114,10,5,1,91,101,0.286637931,0.380952381,0.579741379,0.96069376,0.404913115,30.17755559,0.590082075,4.585657506,-1.088633584,0.2275
문보경,Twins (KBO),3루,130.4304372,5.220071363,4.969238029,519,602,156,35,3,22,62,2,13,3,3,112,14,7,6,80,101,0.300578035,0.372287145,0.506743738,0.879030883,0.390146144,24.76365653,-2.214099394,3.76964783,-2.957176845,0.250833333
데이비슨,Dinos (KBO),1루,141.4391655,4.336289893,5.511289893,501,564,152,23,1,46,34,17,7,0,5,142,12,0,1,90,119,0.303393214,0.368794326,0.628742515,0.997536841,0.405693443,31.59367847,-0.426459356,2.347474795,-4.254320183,-1.175
이재현,Lions (KBO),유격,106.2988039,3.035287895,2.462787895,389,458,101,18,1,14,57,8,3,0,1,83,8,2,1,71,66,0.259640103,0.364628821,0.419023136,0.783651957,0.356065757,3.899722023,-0.026459356,3.812014011,-2.145383713,0.5725
권희동,Dinos (KBO),좌익,134.27523,4.089350211,4.728100211,416,511,125,22,1,13,76,10,6,2,1,63,10,4,0,66,77,0.300480769,0.416502947,0.451923077,0.868426024,0.39557603,23.67616545,1.089475032,3.69623504,-3.034638378,-0.63875
소크라테스,Tigers (KBO),좌익,118.3861244,3.719173915,4.471673915,552,602,171,30,3,26,37,4,5,0,4,91,7,13,5,92,97,0.309782609,0.358803987,0.516304348,0.875108335,0.37313632,14.96224546,-0.379218016,5.320489065,0.033711709,-0.7525
박찬호,Tigers (KBO),유격,94.18340303,2.666057198,1.948557198,512,574,157,24,1,5,47,1,6,7,1,43,9,20,13,86,61,0.306640625,0.363315697,0.38671875,0.750034447,0.338955537,-4.513266243,-4.11450991,4.988146237,-0.586651864,0.7175
박성한,Landers (KBO),유격,108.793973,4.018639117,3.318639117,486,560,145,24,0,10,60,2,6,3,3,86,11,12,3,77,66,0.298353909,0.377019749,0.409465021,0.786484769,0.35958961,6.657071863,0.746785606,4.164701606,-2.2174663,0.7
윤동희,Giants (KBO),중견,120.3280912,4.521946668,4.268196668,528,609,156,35,4,14,66,7,5,2,1,113,10,7,8,97,85,0.295454545,0.378912685,0.456439394,0.835352079,0.375878901,16.73493312,-3.480553866,4.793200839,-1.022412575,0.25375
레이예스,Giants (KBO),우익,135.6399477,5.241529693,6.025279693,569,627,200,40,3,15,44,1,11,0,2,81,16,5,0,88,109,0.351493849,0.393939394,0.51142355,0.905362944,0.39750338,30.20749332,1.309324748,4.170252928,-2.61402114,-0.78375
허경민,Bears (KBO),3루,122.118483,3.921516917,3.722766917,417,477,129,28,0,7,36,18,6,0,0,25,8,5,1,69,61,0.309352518,0.383647799,0.426858513,0.810506312,0.378407418,14.2621108,0.59835279,4.357408772,-1.482794412,0.19875
장성우,Wiz (KBO),포수,107.8333534,3.798152664,2.779402664,418,489,112,19,0,19,59,1,8,2,1,86,8,5,0,53,81,0.267942584,0.35523614,0.449760766,0.804996905,0.358232955,5.178055111,1.221655167,3.304684963,-3.055683638,1.01875
강민호,Lions (KBO),포수,117.3515373,3.961303676,3.01963701,403,452,122,19,1,19,33,8,6,0,2,52,17,3,0,48,77,0.302729529,0.365044248,0.496277916,0.861322163,0.371675203,10.60196779,0.805113737,2.540478715,-3.810711433,0.941666667
도슨,Heroes (KBO),좌익,143.4401463,3.835194832,4.371444832,382,429,126,31,2,11,39,6,2,0,0,54,10,2,2,69,57,0.329842932,0.398601399,0.507853403,0.906454802,0.408519369,25.1917687,-0.682844594,3.825235008,-2.244475782,-0.53625
양의지,Bears (KBO),포수,128.3458952,4.890111144,3.879694477,430,485,135,18,1,17,35,9,6,0,5,56,13,2,1,57,94,0.313953488,0.379381443,0.479069767,0.858451211,0.387202207,18.58412011,-0.009917925,2.7367317,-4.027257415,1.010416667
문상철,Wiz (KBO),1루,104.0893097,1.268200054,2.107783387,347,403,89,11,0,17,43,7,3,1,2,86,8,6,1,50,58,0.25648415,0.350746269,0.435158501,0.78590477,0.352945354,2.227743273,0.737149497,3.545778556,-2.037058896,-0.839583333
