이름,팀,,fWAR,(RA9+f)/2 WAR,이닝,실점,자책점,삼진,피안타,4구,사구,피홈런,승,패,홀,세,ERA,FIP,ERA+,FIP+,WHIP,K/9,BB/9,K/BB,HR/9,RA9,WIN%,ERA-WAR
하트,Dinos (KBO),,5.64875509,6.499249211,151,45,41,172,119,37,9,9,13,2,0,0,2.443708609,3.166606286,191.8353175,148.0416492,1.033112583,10.25165563,2.205298013,4.648648649,0.536423841,2.682119205,0.866666667,7.320618437
윌커슨,Giants (KBO),,6.601485102,6.384603005,183,88,82,159,200,25,2,18,11,8,0,0,4.032786885,3.739616817,133.5361188,144.0047831,1.229508197,7.819672131,1.229508197,6.36,0.885245902,4.327868852,0.578947368,5.910897592
후라도,Heroes (KBO),,5.114186289,5.85089049,184.1,72,65,165,180,31,8,16,10,7,0,0,3.177620858,3.728851107,143.7248119,122.4781969,1.146116241,8.066268332,1.515480717,5.322580645,0.782183596,3.519826181,0.588235294,6.623676332
반즈,Giants (KBO),,4.37847134,5.460862111,138.2,49,46,157,125,41,5,17,9,5,0,0,2.995658466,4.08162531,179.7677254,131.938301,1.201157742,10.22431259,2.670043415,3.829268293,1.107091172,3.191027496,0.642857143,6.352364184
코너,Lions (KBO),,4.181776358,5.365673616,160,67,61,158,135,40,19,21,11,6,0,0,3.43125,4.59351026,159.01841,118.7832155,1.09375,8.8875,2.25,3.95,1.18125,3.76875,0.647058824,6.517479664
쿠에바스,Wiz (KBO),,4.60521532,5.010966611,170,82,75,153,153,57,7,16,7,12,0,0,3.970588235,4.308951436,131.2114853,120.9080185,1.235294118,8.1,3.017647059,2.684210526,0.847058824,4.341176471,0.368421053,5.337529432
원태인,Lions (KBO),,3.902363575,4.934443904,153.2,67,64,114,145,41,7,17,14,6,0,0,3.759791123,4.650266134,145.1229341,117.3334823,1.214099217,6.697127937,2.408616188,2.780487805,0.998694517,3.936031332,0.7,5.584127839
류현진,Eagles (KBO),,5.187451019,4.862062971,158.1,78,68,135,182,33,3,12,10,8,0,0,3.870967742,3.718059596,129.5530995,134.8810734,1.359898798,7.685009488,1.878557875,4.090909091,0.683111954,4.440227704,0.555555556,4.859690606
레예스,Lions (KBO),,4.240349405,4.719885696,138,62,58,107,155,30,6,13,10,4,0,0,3.782608696,4.212531999,144.2475189,129.5258812,1.34057971,6.97826087,1.956521739,3.566666667,0.847826087,4.043478261,0.714285714,4.989497112
네일,Tigers (KBO),,4.743985816,4.717590646,149.1,69,42,138,154,35,9,11,12,5,0,0,2.535211268,3.749303352,195.6363246,132.2857523,1.267605634,8.329979879,2.112676056,3.942857143,0.663983903,4.16498994,0.705882353,7.33650169
